City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Sola,VU,-13.8833,167.55,80.37,69,5,3.06,clear sky
135,Port Alfred,ZA,-33.5906,26.891,59.18,97,49,3.09,scattered clouds
136,Kalmar,SE,56.6616,16.3616,67.14,78,75,4.61,broken clouds
137,Mizan Teferi,ET,6.9833,35.5833,62.19,95,100,1.34,overcast clouds
138,Kavaratti,IN,10.5669,72.642,80.64,84,100,21.23,overcast clouds
139,Mutoko,ZW,-17.397,32.2268,58.71,35,0,3.58,clear sky
140,Khatanga,RU,71.9667,102.5,55.38,95,73,7.11,broken clouds
141,Komsomolskiy,UZ,40.4272,71.7189,86.72,21,52,11.5,broken clouds
142,Husavik,IS,66.0449,-17.3389,56.71,62,67,18.45,broken clouds
143,Ilhabela,BR,-23.7781,-45.3581,74.05,74,99,9.62,light rain
144,Carmen,MX,18.6333,-91.8333,82.44,78,75,9.22,broken clouds
145,Leningradskiy,RU,69.3833,178.4167,32.7,88,80,3.56,broken clouds
146,Mackay,AU,-21.15,149.2,47.68,58,0,10.18,clear sky
147,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,11.5,scattered clouds
148,Sirsa,IN,29.5333,75.0167,88.11,63,53,7.34,broken clouds
149,Madison,US,34.7334,-86.5667,91.94,62,0,5.75,clear sky
150,Merauke,ID,-8.4667,140.3333,74.73,88,67,13.38,broken clouds
151,Iqaluit,CA,63.7506,-68.5145,49.73,71,75,4.61,broken clouds
152,Lebu,CL,-37.6167,-73.65,50.85,73,16,10.4,few clouds
153,Krasnoarmeysk,RU,51.0239,45.6969,71.6,47,46,6.87,scattered clouds
154,Neuquen,AR,-38.9516,-68.0591,46.29,76,75,4.61,broken clouds
155,Nikolskoye,RU,59.7035,30.7861,57.79,94,100,2.75,overcast clouds
156,Norman Wells,CA,65.282,-126.8329,59.04,72,20,5.75,few clouds
157,Katherine,AU,-14.4667,132.2667,70.12,52,2,5.75,clear sky
158,Alice Springs,AU,-23.7,133.8833,41.22,51,0,0.0,clear sky
159,Port Hardy,CA,50.6996,-127.4199,62.78,72,75,11.5,broken clouds
160,College,US,64.8569,-147.8028,51.75,93,100,4.61,light rain
161,Manyana,BW,-23.4,21.7167,57.42,23,1,8.23,clear sky
162,Rio Gallegos,AR,-51.6226,-69.2181,39.2,66,53,12.75,broken clouds
163,Avarua,CK,-21.2078,-159.775,71.65,78,75,12.66,broken clouds
164,Dikson,RU,73.5069,80.5464,42.94,98,100,19.82,overcast clouds
165,Ballina,AU,-28.8667,153.5667,49.78,85,29,11.32,scattered clouds
166,Vao,NC,-22.6667,167.4833,69.67,67,65,17.87,broken clouds
167,Ribeira Brava,PT,32.65,-17.0667,78.71,74,0,2.64,clear sky
168,Huarmey,PE,-10.0681,-78.1522,68.4,67,56,12.01,broken clouds
169,Tasiilaq,GL,65.6145,-37.6368,41.16,97,100,3.47,overcast clouds
170,Sur,OM,22.5667,59.5289,89.6,57,87,8.3,overcast clouds
171,Saint-Philippe,RE,-21.3585,55.7679,67.21,79,43,9.33,scattered clouds
172,Quesnel,CA,52.9999,-122.5029,68.5,40,0,2.3,clear sky
173,Cartagena,CO,10.3997,-75.5144,87.42,70,75,12.66,broken clouds
174,Klaksvik,FO,62.2266,-6.589,52.72,81,71,12.93,broken clouds
175,Upernavik,GL,72.7868,-56.1549,43.09,76,100,5.46,overcast clouds
176,Pinawa,CA,50.1489,-95.8811,79.63,44,19,10.74,few clouds
177,Sao Joao Do Piaui,BR,-8.3581,-42.2467,94.28,24,66,10.36,broken clouds
178,Eirunepe,BR,-6.6603,-69.8736,92.52,45,23,1.36,few clouds
179,Aloleng,PH,16.1307,119.7824,76.17,90,100,8.93,light rain
180,Saint-Augustin,CA,51.226,-58.6502,65.34,48,72,13.78,broken clouds
181,Kanigoro,ID,-8.13,112.219,73.8,88,92,6.98,overcast clouds
182,Carballo,ES,43.213,-8.691,87.22,66,0,11.25,clear sky
183,Chuy,UY,-33.6971,-53.4616,54.63,67,86,9.84,overcast clouds
184,Manta,EC,-0.95,-80.7333,76.78,78,100,11.5,overcast clouds
185,Kenai,US,60.5544,-151.2583,56.08,77,75,23.02,broken clouds
186,Muisne,EC,0.6,-80.0333,75.29,83,99,11.43,overcast clouds
187,Wanaka,NZ,-44.7,169.15,29.1,82,69,3.0,broken clouds
188,Umm Lajj,SA,25.0213,37.2685,90.3,62,42,13.35,moderate rain
189,Sesheke,ZM,-17.4759,24.2968,67.24,19,0,3.58,clear sky
190,Coos Bay,US,43.3665,-124.2179,63.32,91,100,10.36,overcast clouds
191,Ulaangom,MN,49.9811,92.0667,66.65,43,47,5.03,scattered clouds
192,Manavalakurichi,IN,8.1333,77.3,77.94,87,100,15.61,moderate rain
193,Deputatskiy,RU,69.3,139.9,51.91,86,93,2.84,overcast clouds
194,Barranca,PE,-10.75,-77.7667,65.75,70,55,11.1,broken clouds
195,Redmond,US,47.674,-122.1215,86.2,53,0,1.99,clear sky
196,Zemio,CF,5.0314,25.1361,72.73,89,93,2.08,light rain
197,Hithadhoo,MV,-0.6,73.0833,82.15,65,100,2.86,overcast clouds
198,Kieta,PG,-6.2167,155.6333,77.81,84,55,1.36,light rain
199,Castro,BR,-24.7911,-50.0119,64.49,77,100,0.07,overcast clouds
200,Nacala,MZ,-14.5428,40.6728,72.09,74,4,7.18,clear sky
201,Avera,US,33.194,-82.5271,89.65,44,16,3.44,few clouds
202,Mahebourg,MU,-20.4081,57.7,70.09,78,20,5.75,few clouds
203,Qaanaaq,GL,77.484,-69.3632,39.74,58,86,4.29,overcast clouds
204,Morehead,US,37.2711,-87.1764,90.79,65,40,10.36,scattered clouds
205,Talnakh,RU,69.4865,88.3972,60.71,94,42,5.17,light rain
206,Udachnyy,RU,66.4167,112.4,45.82,91,99,1.83,overcast clouds
