City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Diebougou,BF,85.24,broken clouds,10.9667,-3.25,Hotel Le Consulat
385,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
388,Sao Jose Da Coroa Grande,BR,78.87,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
390,Nago,JP,85.05,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
392,Fez,MA,88.05,few clouds,34.0372,-4.9998,Hotel Mounia Fès
395,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Piesta
396,Kindersley,CA,84.22,clear sky,51.4668,-109.1682,Kindersley Inn
398,Huilong,CN,83.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
402,Sorong,ID,77.5,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
404,Cururupu,BR,87.67,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
406,Hirado,JP,80.38,overcast clouds,33.3597,129.5531,Samson Hotel
408,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
411,Salalah,OM,76.51,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
414,Muros,ES,88.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
416,Dongkan,CN,80.42,overcast clouds,33.9997,119.8308,Triumphal Resort
417,Acarau,BR,86.4,few clouds,-2.8856,-40.12,castelo pizzaria
418,Ruidoso,US,77.86,clear sky,33.3317,-105.673,Inn of the Mountain Gods
425,Puerto Suarez,BO,80.96,broken clouds,-18.95,-57.8,Hotel casa real
430,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
431,Warman,CA,82.09,few clouds,52.3168,-106.5679,Days Inn & Suites by Wyndham Warman Legends Centre
433,Anloga,GH,75.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
435,Cockburn Town,TC,85.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
436,Finschhafen,PG,78.6,broken clouds,-6.6024,147.8681,Cossam Guest House
440,Opatija,HR,83.08,scattered clouds,45.3392,14.3083,Hotel Opatija
444,Alta Floresta,BR,75.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
446,Pemberton,CA,87.21,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
453,Kumano,JP,76.42,overcast clouds,34.3442,132.5894,ホテル コラソン
454,Hambantota,LK,78.39,overcast clouds,6.1241,81.1185,Bungalow 63
458,Buala,SB,78.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
460,Brokopondo,SR,87.96,broken clouds,4.75,-55.1667,Matu Island
465,Takoradi,GH,76.14,broken clouds,4.8845,-1.7554,Raybow International Hotel
466,Galesong,ID,75.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
467,San Francisco,US,79.03,broken clouds,37.7749,-122.4194,Edwardian Hotel
469,Polson,US,88.21,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
471,Sabang,ID,82.49,overcast clouds,5.8933,95.3214,Hotel Citra
472,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
476,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
477,Savannakhet,LA,75.18,light rain,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
479,West Lafayette,US,87.01,clear sky,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
480,Nueva Loja,EC,84.22,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
483,Dakar,SN,86.88,few clouds,14.6937,-17.4441,Novotel Dakar
489,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
490,La Rioja,ES,82.18,light rain,42.25,-2.5,Casa Concejos
493,Goderich,CA,77.92,overcast clouds,43.7501,-81.7165,Harmony Inn
494,Wajir,KE,84.16,clear sky,1.7471,40.0573,Mahatallah Hotel
497,La Ronge,CA,77.22,broken clouds,55.1001,-105.2842,Northland Motor Hotel
498,Qixia,CN,75.27,light rain,37.2975,120.8256,Etsong Hotel
499,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
501,Ohara,JP,80.58,overcast clouds,35.25,140.3833,Sakigake
502,Kutum,SD,77.31,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
503,Hilton Head Island,US,88.99,few clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
508,Houma,US,89.6,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
509,San Miguel,SV,89.2,clear sky,13.4833,-88.1833,Excalibur
510,Siocon,PH,77.79,moderate rain,7.7061,122.1353,ABS Hotel
511,Ternate,ID,78.87,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
512,Jieshi,CN,81.79,moderate rain,22.8134,115.8257,Yuehai Hotel
513,Alofi,NU,76.35,clear sky,-19.0595,-169.9187,Taloa Heights
514,Ayutla,MX,75.52,broken clouds,20.1167,-104.3333,Hotel Principal
517,Yen Bai,VN,75.74,scattered clouds,21.7,104.8667,AK MOTEL
526,Lakatoro,VU,77.32,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
